Ticker,Description,fLK+lF,Yahoo_Ticker
QUIG,Mackenzie US Investment Grade Corporate Bond Index ETF,$654.80 M,QUIG.TO
XESG,iShares ESG MSCI Canada Index ETF,$648.86 M,XESG.TO
BTCC,Purpose Bitcoin ETF,$646.32 M,BTCC.TO
DXP,Dynamic Active Preferred Shares ETF,$642.21 M,DXP.TO
FGEP,Fidelity Global Equity+ Fund,$642.16 M,FGEP.TO
DRFC,Desjardins RI Canada Multifactor - Net-Zero Emissions Pathway ETF,$641.97 M,DRFC.TO
CFRN,CIBC Active Investment Grade Floating Rate Bond ETF,$636.27 M,CFRN.TO
XIGS,iShares 1-5 Year U.S. IG Corporate Bond Index ETF,$630.41 M,XIGS.TO
XBM,iShares S&P/TSX Global Base Metals Index ETF,$625.67 M,XBM.TO
FLUR,Franklin International Equity Index ETF,$619.06 M,FLUR.TO
QCB,Mackenzie Canadian All Corporate Bond Index ETF,$613.48 M,QCB.TO
AMAX,Hamilton Gold Producer Yield Maximizer ETF,$610.53 M,AMAX.TO
CGSB,CI Global Short-Term Bond Fund,$608.85 M,CGSB.NE
XMH,iShares S&P U.S. Mid-Cap Index ETF,$604.49 M,XMH.TO
TUHY,TD Active U.S. High Yield Bond ETF,$598.80 M,TUHY.TO
EMAX,Hamilton Energy Yield Maximizer ETF,$596.83 M,EMAX.TO
RID,RBC Quant EAFE Dividend Leaders ETF,$591.59 M,RID.TO
CMVP,HAMILTON CHAMPIONS Canadian Dividend Index ETF,$591.26 M,CMVP.TO
ZRE,BMO Equal Weight REITs Index ETF,$584.17 M,ZRE.TO
HISU.U,US High Interest Savings Account Fund,$418.17 M,HISU-U.TO
HBF,Harvest US Equity Leaders Income ETF,$573.60 M,HBF.TO
USCC.U,Global X S&P 500 Covered Call ETF (CA),$567.38 M,USCC-U.TO
HDIF,Harvest Diversified Monthly Income ETF,$564.54 M,HDIF.TO
CIEI,CIBC MSCI EAFE Equity Index ETF,$557.50 M,CIEI.TO
DRFE,Desjardins RI Emerging Markets Multifactor - Net-Zero Emissions Pathway ETF,$547.83 M,DRFE.TO
XCSR,iShares ESG Advanced MSCI Canada Index ETF,$547.11 M,XCSR.TO
XUS.U,iShares Core S&P 500 Index ETF,$395.19 M,XUS-U.TO
RQR,RBC Target 2029 Canadian Corporate Bond Index ETF,$546.41 M,RQR.TO
FCSW,Fidelity Sustainable World ETF,$543.28 M,FCSW.NE
HUTL,Harvest Utilities Leaders Income ETF,$541.85 M,HUTL.TO
FXM,CI Morningstar Canada Value Index ETF,$539.95 M,FXM.TO
MCLC,Manulife Multifactor Canadian Large Cap Index ETF,$537.26 M,MCLC.TO
XUSR,iShares ESG Advanced MSCI USA ETF - CAD,$534.69 M,XUSR.TO
RCOR,RBC Core Bond Pool ETF,$533.61 M,RCOR.NE
CBH,iShares 1-10 Year Laddered Corporate Bond Index ETF,$530.79 M,CBH.TO
XHC,iShares Global Healthcare Index ETF,$529.87 M,XHC.TO
XQB,iShares Core High Quality Canadian Bond Index ETF,$527.16 M,XQB.TO
XFLI,iShares Flexible Monthly Income ETF,$526.54 M,XFLI.TO
PSB,CI 1-5 Year Laddered Investment Grade Corporate Bond Index ETF,$522.85 M,PSB.TO
KILO,Purpose Gold Bullion Fund ETF,$523.04 M,KILO.TO
RPLS,RBC Core Plus Bond Pool ETF,$519.75 M,RPLS.NE
RBNK,RBC Canadian Bank Yield Index ETF,$516.94 M,RBNK.TO
XUH,iShares Core S&P U.S. Total Market Index ETF,$511.97 M,XUH.TO
XEM,iShares MSCI Emerging Markets Index ETF,$510.44 M,XEM.TO
WSHR,Wealthsimple Shariah World Equity Index ETF,$510.34 M,WSHR.NE
TPRF,TD Active Preferred Share ETF,$504.44 M,TPRF.TO
CDAY,Hamilton Enhanced Canadian Equity DayMAX ETF,$500.02 M,CDAY.NE
HFIN,Hamilton Enhanced Canadian Financials ETF,$496.51 M,HFIN.TO
ZGI,BMO Global Infrastructure Index ETF,$494.57 M,ZGI.TO
DGR.B,CI U.S. Quality Dividend Growth Index ETF,$494.22 M,DGR-B.TO
VMO,Vanguard Global Momentum Factor ETF,$489.72 M,VMO.TO
CCAD,CIBC Premium Cash Management ETF,$479.30 M,CCAD.TO
DRFG,Desjardins RI Global Multifactor - Fossil Fuel Reserves Free ETF,$477.41 M,DRFG.TO
IBIT,iShares Bitcoin ETF,$473.62 M,IBIT.NE
QQU,BetaPro NASDAQ-100 2x Daily Bull ETF,$470.25 M,QQU.TO
SVR,iShares Silver Bullion ETF,$469.92 M,SVR.TO
ETHX.B,CI Galaxy Ethereum ETF,$468.22 M,ETHX-B.TO
ZEO,BMO Equal Weight Oil & Gas Index ETF,$466.58 M,ZEO.TO
NNRG,Ninepoint Energy Fund,$466.07 M,NNRG.TO
NNRG.U,Ninepoint Energy Fund,$336.89 M,NNRG-U.TO
TINF,TD Active Global Infrastructure Equity ETF,$460.91 M,TINF.TO
DXV,Dynamic  Active Investment Grade Floating Rate ETF,$458.70 M,DXV.TO
CINF,CI Global Infrastructure Private Pool ETF,$457.29 M,CINF.TO
CAUS,Avantis CIBC U.S. All-Cap Equity ETF,$452.58 M,CAUS.TO
TGRO,TD Growth ETF Portfolio,$451.68 M,TGRO.TO
PFIA,PICTON Long Short Income Alternative Fund ETF,$448.47 M,PFIA.TO
ZDJ,BMO Dow Jones Industrial Average Hedged to CAD Index ETF,$448.23 M,ZDJ.TO
ZMBS,BMO Canadian MBS Index ETF,$445.05 M,ZMBS.TO
YTSL,Tesla (TSLA) Yield Shares Purpose ETF,$443.79 M,YTSL.NE
ZPAY,BMO Premium Yield ETF,$442.52 M,ZPAY.TO
RQS,RBC Target 2030 Canadian Corporate Bond Index ETF,$442.39 M,RQS.TO
MSTE,Harvest Strategy Inc. Enhanced High Income Shares ETF,$438.78 M,MSTE.TO
PCOR,PIMCO Managed Core Bond Pool ETF,$438.78 M,PCOR.TO
ZESM,BMO MSCI EAFE Small-Mid Cap Index ETF,$436.33 M,ZESM.TO
UTES,Evolve Canadian Utilities Enhanced Yield Index Fund,$436.21 M,UTES.TO
TCLB,TD Canadian Long Term Federal Bond ETF,$435.89 M,TCLB.TO
IGB,Purpose Global Bond Class ETF,$435.19 M,IGB.TO
HAZ,Global X Active Global Dividend ETF,$434.09 M,HAZ.TO
MWLV,Mackenzie World Low Volatility ETF,$433.18 M,MWLV.TO
DMID,Desjardins American Mid Cap Equity Index ETF,$431.59 M,DMID.TO
XCNS,iShares Core Conservative Balanced ETF,$429.77 M,XCNS.TO
XGGB,iShares Global Government Bond Index ETF,$425.34 M,XGGB.NE
DRFU,Desjardins RI USA Multifactor - Net-Zero Emissions Pathway ETF,$425.30 M,DRFU.TO
HISA.L,High Interest Savings Account Fund,$423.11 M,HISA-L.NE
RCD,RBC Quant Canadian Dividend Leaders ETF,$421.42 M,RCD.TO
CEW,iShares Equal Weight Banc & Lifeco ETF,$419.03 M,CEW.TO
CAPM,Capital Group Multi-Sector Income Select ETF,$418.21 M,CAPM.TO
CSBI,CIBC Canadian Short-Term Bond Index ETF,$417.80 M,CSBI.TO
FLAM,Franklin FTSE U.S. Index ETF,$414.84 M,FLAM.TO
DXC,Dynamic Active Canadian Dividend ETF,$414.40 M,DXC.TO
